name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, American (New), Italian",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,10.49,323283
The Cake Drip,1625 W Snow Cir,Tampa,FL,4,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop",Dessert,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,30.42,370227
PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,3,"Fast Food, Sandwiches, Chicken Shop, Restaurants",American & Fast Food,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,24.16,468742
O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,4,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,16.76,323283
Lee Roy Selmon's,14457 N Dale Mabry Hwy,Tampa,FL,3,"Salad, Restaurants, Burgers, Soul Food",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,4.37,323283
Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,FL,4,"Irish Pub, Bars, Restaurants, Irish, Nightlife",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,5.93,312328
Cafe Con Leche,4100 George J Bean Pkwy,Tampa,FL,2,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,2.21,312328
Sake House,5106 E Fowler Ave,Tampa,FL,3,"Restaurants, Sushi Bars, Japanese",Bar & Wines,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,28.58,468742
The Silo Eatery Coffee Bakery,"9036 Brittany Way, Bldg 18",Tampa,FL,4,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",Coffee/Cafe,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,24.65,498759
El Sabor Boricua,11612 N Nebraska Ave,Tampa,FL,5,"Puerto Rican, Caribbean, Latin American, Restaurants",Latin,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
MOSI Food Truck Rally,4801 East Fowler Ave,Tampa,FL,3,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands",Other,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,0.68,468742
The Corner Cafe and Deli,"100 S Ashley Dr, Ste 220",Tampa,FL,4,"Sandwiches, Cafes, Burgers, Food, Restaurants",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,33.95,458315
The Bricks,1327 E 7th Ave,Tampa,FL,4,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian",Coffee/Cafe,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,23.31,220423
Big Mike's BBQ,6901 Sheldon Rd,Tampa,FL,4,"Restaurants, Barbeque",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,7.22,320788
Starbucks,8602 Hillsborough Ave,Tampa,FL,3,"Coffee & Tea, Food",Coffee/Cafe,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,6.18,320788
Auntie Anne's,8094 Citrus Park Town Center Mall,Tampa,FL,2,"Pretzels, Shopping Centers, Food, Shopping, Bakeries",Other,33625,Other,,Other,Other,Other,Other,Other,Other,,106613
Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",Tampa,FL,3,"Asian Fusion, Restaurants",Other,34677,Other,,Other,Other,Other,Other,Other,Other,,472177
KELP Sushi Joint,"3401 W Bay To Bay Blvd, Ste D",Tampa,FL,4,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,16.27,297935
Hardee's,4116 W Hillsborough Ave,Tampa,FL,2,"Restaurants, Fast Food, Burgers",American & Fast Food,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,15.98,438346
Sonny's BBQ,8106 W Hillsborough Avenue,Tampa,FL,3,"Barbeque, Restaurants, Event Planning & Services, Caterers",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,9.9,320788
Gandolfo's New York Deli,12908 N Dale Mabry Hwy,Tampa,FL,2,"Delis, Restaurants",Other,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,17.13,323283
The Humming Bird Jerk house,"17631 Bruce B Downs Blvd, Unit F",Tampa,FL,3,"Restaurants, Caribbean",Latin,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,3.49,185666
Portofino's Italian Kitchen,6742 Memorial Hwy,Tampa,FL,4,"Restaurants, Pizza, Italian",Italian,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,9.93,320788
Dio Modern Mediteranean,519 N Franklin St,Tampa,FL,4,"Greek, Restaurants, Mediterranean",Other,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,12.82,458315
Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",Tampa,FL,4,"Latin American, Restaurants, Peruvian, Seafood",American & Fast Food,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,12.31,122068
Taco Bell,4647 West Kennedy Blvd,Tampa,FL,2,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos",Latin,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,28.27,411201
Fuzzy's Taco Shop,"5621 E Fowler Ave, Units 201-207",Tampa,FL,3,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars",Latin,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,6.59,468742
Orchid Thai Foods,17022 Palm Pointe Dr,Tampa,FL,4,"Asian Fusion, Restaurants, Thai",Asian,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,12.86,185666
Harvest Bowl Eatery & Market,6109 N Florida Ave,Tampa,FL,4,"Wraps, American (New), Vegan, Breakfast & Brunch, Restaurants",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,17.77,381090
Island Fin Poké,"6417 E County Line Rd, Ste 101",Tampa,FL,5,"Gluten-Free, Poke, Food, Restaurants, Hawaiian",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,1.16,185666
Dunkin',7004 N. Dale Mabry Hwy,Tampa,FL,2,"Food, Donuts, Coffee & Tea",Coffee/Cafe,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,22.48,438346
La Casa de Pan de Yuca,"4013 W Linebaugh Ave, Ste 101",Tampa,FL,4,"Bakeries, Food",Other,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,4.6,122068
Froyo Fresh,12211 W Linebaugh Ave,Tampa,FL,4,"Desserts, Event Planning & Services, Food, Caterers, Ice Cream & Frozen Yogurt",Dessert,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,1.69,251619
Sayroo's Bakery and Grocery,2028 S 50th St,Tampa,FL,4,"Food, Bakeries, Grocery, Specialty Food",Other,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,38.9,498759
Sweeties By Mili,11961 Sheldon Rd,Tampa,FL,3,"Bakeries, Food",Other,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,25.11,251619
Julian Restaurant,2545 N Rocky Point Dr,Tampa,FL,4,"Cocktail Bars, Seafood, Bars, Nightlife, Restaurants, Tapas/Small Plates",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,30.72,312328
Amore Mio,6803 N Armenia Ave,Tampa,FL,4,"Restaurants, Pizza, Italian",Italian,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,9.14,381090
YO! Sushi,"International Plz, 2223 N Westshore Blvd",Tampa,FL,4,"Sushi Bars, Fast Food, Japanese, Restaurants",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,3.71,312328
Paradise Pizza Cafe,"4810 E Busch Blvd, Ste L&M",Tampa,FL,2,"Restaurants, Mediterranean, Pizza, Burgers, Breakfast & Brunch, Turkish, Kebab",American & Fast Food,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,22.58,468742
The Local Draught House,813 N Tampa St,Tampa,FL,3,"Nightlife, Bars, Irish Pub, Pubs",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,15.41,458315
EATS! American Grill,4502 S Dale Mabry Hwy,Tampa,FL,4,"American (New), Diners, American (Traditional), Restaurants",American & Fast Food,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,3.66,185237
China Wok,10714 Countryway Blvd,Tampa,FL,3,"Chinese, Restaurants",Asian,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,12.87,251619
